branches,branch misses,LLC,LLC misses,branch miss rate,LLC miss rate,type
183369978,4526011,30163079,9226364,0.024682,0.305883,1
205865379,4436133,28869979,9528284,0.021549,0.330041,1
293134063,5809932,31705171,10297567,0.01982,0.324791,1
216626607,5024241,29408240,9191804,0.023193,0.312559,1
209883076,4833125,27387679,8338870,0.023028,0.304475,1
187727376,4546313,27960769,8936930,0.024218,0.319624,1
223019146,4912091,30426167,9859932,0.022025,0.324061,1
318590188,6852384,32371872,10201626,0.021508,0.315139,1
187241187,4689852,28001430,9032310,0.025047,0.322566,1
207678354,5065317,28035030,9475339,0.02439,0.337982,1
205070062,4718297,28752652,9622344,0.023008,0.334659,1
206375491,5026199,30144419,9443816,0.024355,0.313286,1
213802971,4960820,28183499,9686471,0.023203,0.343693,1
204099876,4606467,30228641,9146563,0.02257,0.302579,1
197522320,5134822,26802781,9203180,0.025996,0.343367,1
187650763,4321750,28644682,9349519,0.023031,0.326396,1
198937331,4889157,29655786,9193637,0.024576,0.310012,1
214803072,5180237,30063289,9225181,0.024116,0.306859,1
211072999,4979729,28416702,8877233,0.023592,0.312395,1
192213271,5017288,27749881,9689399,0.026103,0.349169,1
210489424,5203233,29050002,9145614,0.02472,0.314823,1
207156156,5065884,29862300,8818316,0.024454,0.295299,1
194620745,4345720,28645433,9235603,0.022329,0.322411,1
183946292,4204373,27422371,8420772,0.022857,0.307077,1
205023589,4587785,28534355,9242198,0.022377,0.323897,1
202555166,4783222,28274659,9436385,0.023614,0.33374,1
205952468,4796542,29859648,8515402,0.02329,0.285181,1
206808359,4531003,29025865,9540497,0.021909,0.328689,1
201432771,4988855,28820354,9055300,0.024767,0.314198,1
201951956,4833677,30915513,9690633,0.023935,0.313455,1
317419971,5742123,32225905,10714158,0.01809,0.33247,1
197673214,4938085,27892316,8684125,0.024981,0.311345,1
204868854,4725090,30320287,9381781,0.023064,0.309423,1
201958334,4531041,27439842,8641468,0.022436,0.314924,1
211073935,4929554,29237378,9108374,0.023355,0.311532,1
203787012,4816165,28894406,9077718,0.023633,0.314169,1
208581720,4822454,28936537,9287992,0.02312,0.320978,1
200513071,4553226,29437444,8747212,0.022708,0.297146,1
200718448,4483065,27672622,8528380,0.022335,0.308188,1
185332380,4127316,28372421,8408025,0.02227,0.296345,1
207453098,4935363,27139989,8570869,0.02379,0.315802,1
217609367,5164980,28063521,8777433,0.023735,0.31277,1
210720806,4961075,27336312,8975476,0.023543,0.328335,1
209146816,4727367,28350482,8842620,0.022603,0.311904,1
194198111,5060834,28350346,8776629,0.02606,0.309577,1
207793468,4518419,26546683,9178661,0.021745,0.345755,1
199322281,5023128,27141783,8739258,0.025201,0.321985,1
376605227,6882657,30751994,10628588,0.018276,0.345623,1
181045316,4965617,29814963,9164531,0.027427,0.30738,1
192521305,4601350,28908905,8622403,0.0239,0.298261,1
188706606,4560220,27844113,9388439,0.024166,0.337179,1
211546838,4820507,28336996,9551159,0.022787,0.337056,1
211737581,5025573,29732384,9522921,0.023735,0.320288,1
207594624,4921020,29347191,8830187,0.023705,0.300887,1
211178807,5483694,29569458,8833335,0.025967,0.298732,1
209819459,4908042,28315841,8622461,0.023392,0.30451,1
216966124,4800328,30714287,9483074,0.022125,0.308751,1
203930462,4446555,26822997,8383057,0.021804,0.312532,1
210851142,5229812,30031766,8922443,0.024803,0.2971,1
225627629,5081391,27901706,9347887,0.022521,0.335029,1
199052945,4868535,26844751,9601671,0.024458,0.357674,1
506963958,8474540,32825186,11743150,0.016716,0.357748,1
212824025,5025303,29200097,8869320,0.023612,0.303743,1
220501895,5283826,29213649,9841397,0.023963,0.336877,1
206650255,5178084,28506325,9217462,0.025057,0.323348,1
210644987,4862640,29325678,8866507,0.023085,0.302346,1
209217202,4928199,28629888,9011700,0.023555,0.314765,1
202950781,4930262,28977814,9520690,0.024293,0.328551,1
190876335,5090068,29358053,9088866,0.026667,0.309587,1
212151473,4658218,29919334,8626431,0.021957,0.288323,1
215677666,5195455,28915077,9137703,0.024089,0.316019,1
218932348,4764363,30518516,9034597,0.021762,0.296037,1
220075121,5090876,28435814,9493673,0.023132,0.333863,1
207577059,4874380,30369643,8891483,0.023482,0.292775,1
189145814,4914456,26871113,8585129,0.025982,0.319493,1
193964109,4599475,30203751,8950709,0.023713,0.296344,1
189949704,4934316,28897742,9326687,0.025977,0.322748,1
194337830,5084399,27142360,8672781,0.026163,0.319529,1
199380164,4924538,29032748,9304388,0.024699,0.320479,1
204981382,5238049,29199340,8992042,0.025554,0.307954,1
211308217,5085416,30363157,9061284,0.024066,0.29843,1
196928738,4565239,29303322,9469674,0.023182,0.32316,1
203840652,4896049,31220654,8768727,0.024019,0.280863,1
190714604,4830038,29099042,9230371,0.025326,0.317205,1
206383960,4553941,28833838,8757555,0.022065,0.303725,1
200754588,4793692,29452211,8485719,0.023878,0.288118,1
213883761,4971140,29316776,9330861,0.023242,0.318277,1
193650054,5008114,27220679,9011636,0.025862,0.331058,1
192800568,4797423,28481458,9069663,0.024883,0.318441,1
211101814,5382866,30774519,8810787,0.025499,0.286301,1
202656047,4493150,28820094,9211060,0.022171,0.319605,1
502160897,8527633,35225455,11216714,0.016982,0.318426,1
215791453,4947589,29259324,9278907,0.022928,0.317126,1
193782504,4926729,28204242,9348273,0.025424,0.331449,1
211351216,5033275,27905350,9392765,0.023815,0.336594,1
200399547,5028339,28700606,9050059,0.025092,0.315326,1
206689861,4956582,28088726,8986447,0.023981,0.319931,1
210333057,4453423,29590082,9233465,0.021173,0.312046,1
220495454,5323721,29690763,9704768,0.024144,0.326862,1
207015766,5411719,29744694,9153041,0.026142,0.30772,1
208266593,5297188,30121088,8848973,0.025435,0.29378,1
209888736,5266528,27673864,8796389,0.025092,0.317859,1
197545529,5150387,27130526,9371592,0.026072,0.345426,1
208658101,5187428,30363919,8908398,0.024861,0.293388,1
208688370,5086743,28125828,8854321,0.024375,0.314811,1
209632792,5268214,27769964,8968523,0.025131,0.322958,1
201483208,4709011,29092417,9417993,0.023372,0.323727,1
220493519,5106371,29305560,9707169,0.023159,0.33124,1
194817051,5133796,30108730,8820600,0.026352,0.292958,1
442409061,7804212,32095770,11157332,0.01764,0.347626,1
